Country,Obesity (%)
Afghanistan,5.5
Albania,21.7
Algeria,27.4
Andorra,25.6
Angola,8.2
Antigua and Barbuda,18.9
Argentina,28.3
Armenia,20.2
Australia,29
Austria,20.1
Azerbaijan,19.9
Bahamas,31.6
Bahrain,29.8
Bangladesh,3.6
Barbados,23.1
Belarus,24.5
Belgium,22.1
Belize,24.1
Benin,9.6
Bhutan,6.4
Bolivia (Plurinational State of),20.2
Bosnia and Herzegovina,17.9
Botswana,18.9
Brazil,22.1
Brunei Darussalam,14.1
Bulgaria,25
Burkina Faso,5.6
Burundi,5.4
Cabo Verde,11.8
Cambodia,3.9
Cameroon,11.4
Canada,29.4
Central African Republic,7.5
Chad,6.1
Chile,28
China,6.2
Colombia,22.3
Comoros,7.8
Congo,9.6
Cook Islands,55.9
Costa Rica,25.7
Croatia,24.4
Cuba,24.6
Cyprus,21.8
Czechia,26
Côte d'Ivoire,10.3
Democratic People's Republic of Korea,6.8
Democratic Republic of the Congo,6.7
Denmark,19.7
Djibouti,13.5
Dominica,27.9
Dominican Republic,27.6
Ecuador,19.9
Egypt,32
El Salvador,24.6
Equatorial Guinea,8
Eritrea,5
Estonia,21.2
Eswatini,16.5
Ethiopia,4.5
Fiji,30.2
Finland,22.2
France,21.6
Gabon,15
Gambia,10.3
Georgia,21.7
Germany,22.3
Ghana,10.9
Greece,24.9
Grenada,21.3
Guatemala,21.2
Guinea,7.7
Guinea-Bissau,9.5
Guyana,20.2
Haiti,22.7
Honduras,21.4
Hungary,26.4
Iceland,21.9
India,3.9
Indonesia,6.9
Iran (Islamic Republic of),25.8
Iraq,30.4
Ireland,25.3
Israel,26.1
Italy,19.9
Jamaica,24.7
Japan,4.3
Jordan,35.5
Kazakhstan,21
Kenya,7.1
Kiribati,46
Kuwait,37.9
Kyrgyzstan,16.6
Lao People's Democratic Republic,5.3
Latvia,23.6
Lebanon,32
Lesotho,16.6
Liberia,9.9
Libya,32.5
Lithuania,26.3
Luxembourg,22.6
Madagascar,5.3
Malawi,5.8
Malaysia,15.6
Maldives,8.6
Mali,8.6
Malta,28.9
Marshall Islands,52.9
Mauritania,12.7
Mauritius,10.8
Mexico,28.9
Micronesia (Federated States of),45.8
Monaco,No data
Mongolia,20.6
Montenegro,23.3
Morocco,26.1
Mozambique,7.2
Myanmar,5.8
Namibia,17.2
Nauru,61
Nepal,4.1
Netherlands,20.4
New Zealand,30.8
Nicaragua,23.7
Niger,5.5
Nigeria,8.9
Niue,50
Norway,23.1
Oman,27
Pakistan,8.6
Palau,55.3
Panama,22.7
Papua New Guinea,21.3
Paraguay,20.3
Peru,19.7
Philippines,6.4
Poland,23.1
Portugal,20.8
Qatar,35.1
Republic of Korea,4.7
Republic of Moldova,18.9
Republic of North Macedonia,22.4
Romania,22.5
Russian Federation,23.1
Rwanda,5.8
Saint Kitts and Nevis,22.9
Saint Lucia,19.7
Saint Vincent and the Grenadines,23.7
Samoa,47.3
San Marino,No data
Sao Tome and Principe,12.4
Saudi Arabia,35.4
Senegal,8.8
Serbia,21.5
Seychelles,14
Sierra Leone,8.7
Singapore,6.1
Slovakia,20.5
Slovenia,20.2
Solomon Islands,22.5
Somalia,8.3
South Africa,28.3
South Sudan,No data
Spain,23.8
Sri Lanka,5.2
Sudan,No data
Sudan (former),8.6
Suriname,26.4
Sweden,20.6
Switzerland,19.5
Syrian Arab Republic,27.8
Tajikistan,14.2
Thailand,10
Timor-Leste,3.8
Togo,8.4
Tonga,48.2
Trinidad and Tobago,18.6
Tunisia,26.9
Turkey,32.1
Turkmenistan,18.6
Tuvalu,51.6
Uganda,5.3
Ukraine,24.1
United Arab Emirates,31.7
United Kingdom of Great Britain and Northern Ireland,27.8
United Republic of Tanzania,8.4
United States of America,36.2
Uruguay,27.9
Uzbekistan,16.6
Vanuatu,25.2
Venezuela (Bolivarian Republic of),25.6
Viet Nam,2.1
Yemen,17.1
Zambia,8.1
Zimbabwe,15.5
