Country Name,2016
Aruba,108727
Africa Eastern and Southern,623369401
Afghanistan,34700612
Africa Western and Central,429454743
Angola,29183070
Albania,2876101
Andorra,72181
Arab World,419808341
United Arab Emirates,8935095
Argentina,43900313
Armenia,2992300
American Samoa,52245
Antigua and Barbuda,89969
Australia,24190907
Austria,8736668
Azerbaijan,9757812
Burundi,11239451
Belgium,11331422
Benin,11697842
Burkina Faso,19334856
Bangladesh,160811932
Bulgaria,6894139
Bahrain,1423726
"Bahamas, The",388055
Bosnia and Herzegovina,3473003
Belarus,9469379
Belize,364705
Bermuda,63449
Bolivia,11180020
Brazil,203218114
Barbados,279598
Brunei Darussalam,427564
Bhutan,747866
Botswana,2234776
Central African Republic,4713663
Canada,36110803
Central Europe and the Baltics,102647939
Switzerland,8373338
Channel Islands,163883
Chile,18267221
China,1387790000
Cote d'Ivoire,25989405
Cameroon,23454161
"Congo, Dem. Rep.",83956415
"Congo, Rep.",5222536
Colombia,47437512
Comoros,741741
Cabo Verde,512554
Costa Rica,4866998
Caribbean small states,4341333
Cuba,11265612
Curacao,159664
Cayman Islands,63100
Cyprus,1237112
Czechia,10566332
Germany,82348669
Djibouti,1037653
Dominica,69606
Denmark,5728010
Dominican Republic,10551430
Algeria,40850721
East Asia & Pacific (excluding high income),2071486140
Early-demographic dividend,3233033717
East Asia & Pacific,2317076058
Europe & Central Asia (excluding high income),242410814
Europe & Central Asia,911765648
Ecuador,16505139
"Egypt, Arab Rep.",101644589
Euro area,344132977
Eritrea,3124698
Spain,46458139
Estonia,1315790
Ethiopia,106718162
European Union,444676652
Fragile and conflict affected situations,910836458
Finland,5495303
Fiji,919166
France,66724104
Faroe Islands,49464
"Micronesia, Fed. Sts.",109075
Gabon,2100306
United Kingdom,65607000
Georgia,3727505
Ghana,29356742
Gibraltar,33658
Guinea,12073030
"Gambia, The",2283769
Guinea-Bissau,1831893
Equatorial Guinea,1508186
Greece,10775971
Grenada,115130
Greenland,56186
Guatemala,16268760
Guam,164233
Guyana,763548
High income,1374284415
"Hong Kong SAR, China",7336600
Honduras,9412380
Heavily indebted poor countries (HIPC),756895035
Croatia,4106867
Haiti,10671457
Hungary,9759755
IBRD only,4721753602
IDA & IBRD total,6360340293
IDA total,1638586691
IDA blend,578463670
Indonesia,264627418
IDA only,1060123021
Isle of Man,83466
India,1343944296
Not classified,
Ireland,4762722
"Iran, Islamic Rep.",83812228
Iraq,38469627
Iceland,335439
Israel,8546000
Italy,60115223
Jamaica,2809915
Jordan,10006367
Japan,127076000
Kazakhstan,18363600
Kenya,48139687
Kyrgyz Republic,6175338
Cambodia,15852803
Kiribati,118478
St. Kitts and Nevis,47075
"Korea, Rep.",51217803
Kuwait,4004096
Latin America & Caribbean (excluding high income),556440282
Lao PDR,6908802
Lebanon,6323060
Liberia,4755608
Libya,6632126
St. Lucia,175646
Latin America & Caribbean,624737786
Least developed countries: UN classification,985414939
Low income,501149314
Liechtenstein,37716
Sri Lanka,21209000
Lower middle income,2806590212
Low & middle income,6017298320
Lesotho,2130422
Late-demographic dividend,2271028438
Lithuania,2877325
Luxembourg,582014
Latvia,1959537
"Macao SAR, China",652500
St. Martin (French part),37175
Morocco,35023457
Monaco,37276
Moldova,2803186
Madagascar,26099952
Maldives,443308
"Middle East, North Africa, Afghanistan & Pakistan",707023525
Mexico,122251351
Marshall Islands,47709
Middle income,5516149006
North Macedonia,1906313
Mali,19191289
Malta,454505
Myanmar,51495696
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",645837915
Montenegro,625353
Mongolia,3088856
Northern Mariana Islands,50773
Mozambique,27337105
Mauritania,4086657
Mauritius,1263747
Malawi,17557739
Malaysia,31789685
North America,360527592
Namibia,2439213
New Caledonia,283423
Niger,20685753
Nigeria,195443700
Nicaragua,6232666
Netherlands,17030314
Norway,5234519
