,Country,Mean BMI,Obesity (%),Population,Continent
0,Afghanistan,24.23413457,5.5,34700612,Asia
1,Albania,26.50751203,21.7,2876101,Europe
2,Algeria,26.56116565,27.4,40850721,Africa
3,Andorra,26.27166071,25.6,72181,Europe
4,Angola,24.37650146,8.2,29183070,Africa
5,Antigua and Barbuda,27.96185992,18.9,89969,North America
6,Argentina,27.79858856,28.3,43900313,South America
7,Armenia,27.19451321,20.2,2992300,Europe
8,Australia,26.87308177,29,24190907,Oceania
9,Austria,24.74923974,20.1,8736668,Europe
10,Azerbaijan,28.15375814,19.9,9757812,Europe
11,Bahrain,24.79195613,29.8,1423726,Asia
12,Bangladesh,22.05260608,3.6,160811932,Asia
13,Barbados,29.41101997,23.1,279598,North America
14,Belarus,26.91237453,24.5,9469379,Europe
15,Belgium,25.74971353,22.1,11331422,Europe
16,Belize,30.75287977,24.1,364705,North America
17,Benin,24.57959394,9.6,11697842,Africa
18,Bhutan,24.56664292,6.4,747866,Asia
19,Bosnia and Herzegovina,25.34013918,17.9,3473003,Europe
20,Botswana,26.29687711,18.9,2234776,Africa
21,Brazil,27.03856248,22.1,203218114,South America
22,Bulgaria,25.93015482,25,6894139,Europe
23,Burundi,21.60407468,5.4,11239451,Africa
24,Cambodia,22.38762001,3.9,15852803,Asia
25,Cameroon,25.22671897,11.4,23454161,Africa
26,Canada,26.76370753,29.4,36110803,North America
27,Central African Republic,23.78232058,7.5,4713663,Africa
28,Chad,21.97868164,6.1,15114655,Africa
29,Chile,28.34360496,28,18267221,South America
30,China,23.59199764,6.2,1387790000,Asia
31,Colombia,26.75453166,22.3,47437512,South America
32,Comoros,25.76026031,7.8,741741,Africa
33,Costa Rica,28.10500815,25.7,4866998,North America
34,Croatia,27.03333448,24.4,4106867,Europe
35,Cuba,26.20142057,24.6,11265612,North America
36,Cyprus,26.22650471,21.8,1237112,Europe
37,Czechia,26.43610997,26,10566332,Europe
38,Denmark,24.55769869,19.7,5728010,Europe
39,Djibouti,24.75441969,13.5,1037653,Africa
40,Dominica,29.21841194,27.9,69606,North America
41,Dominican Republic,27.56382371,27.6,10551430,North America
42,Ecuador,28.0662789,19.9,16505139,South America
43,El Salvador,28.50102418,24.6,6200800,North America
44,Equatorial Guinea,26.02097699,8,1508186,Africa
45,Eritrea,21.17645978,5,3124698,Africa
46,Estonia,26.04526707,21.2,1315790,Europe
47,Ethiopia,21.11970671,4.5,106718162,Africa
48,Fiji,29.0032383,30.2,919166,Oceania
49,Finland,25.68118239,22.2,5495303,Europe
50,France,24.3122892,21.6,66724104,Europe
51,Gabon,26.69545578,15,2100306,Africa
52,Georgia,27.87763074,21.7,3727505,Europe
53,Germany,26.00994709,22.3,82348669,Europe
54,Ghana,25.38987538,10.9,29356742,Africa
55,Greece,26.9157422,24.9,10775971,Europe
56,Grenada,28.99880771,21.3,115130,North America
57,Guatemala,27.49113119,21.2,16268760,North America
58,Guinea,23.48420628,7.7,12073030,Africa
59,Guinea-Bissau,24.15697009,9.5,1831893,Africa
60,Guyana,27.95808006,20.2,763548,South America
61,Haiti,24.34822336,22.7,10671457,North America
62,Honduras,27.85207042,21.4,9412380,North America
63,Hungary,26.65430385,26.4,9759755,Europe
64,Iceland,25.5912036,21.9,335439,Europe
65,India,22.00366557,3.9,1343944296,Asia
66,Indonesia,23.90401041,6.9,264627418,Asia
67,Iraq,29.94273994,30.4,38469627,Asia
68,Ireland,27.20344034,25.3,4762722,Europe
69,Israel,27.12482237,26.1,8546000,Asia
70,Italy,24.85762136,19.9,60115223,Europe
71,Jamaica,29.86594518,24.7,2809915,North America
72,Japan,21.82460637,4.3,127076000,Asia
73,Jordan,30.08778993,35.5,10006367,Asia
74,Kazakhstan,26.66546632,21,18363600,Asia
75,Kenya,24.58874859,7.1,48139687,Africa
76,Kiribati,31.3037358,46,118478,Oceania
77,Kuwait,30.66093207,37.9,4004096,Asia
78,Latvia,26.45084333,23.6,1959537,Europe
79,Lebanon,27.64767452,32,6323060,Asia
80,Lesotho,27.1352051,16.6,2130422,Africa
81,Liberia,25.19952427,9.9,4755608,Africa
82,Libya,29.56632955,32.5,6632126,Africa
83,Lithuania,26.05921691,26.3,2877325,Europe
84,Luxembourg,25.75479558,22.6,582014,Europe
85,Madagascar,21.14453119,5.3,26099952,Africa
86,Malawi,23.26532312,5.8,17557739,Africa
87,Malaysia,26.30422774,15.6,31789685,Asia
88,Maldives,26.55675736,8.6,443308,Asia
89,Mali,23.18221551,8.6,19191289,Africa
90,Malta,26.59676335,28.9,454505,Europe
91,Marshall Islands,30.66769672,52.9,47709,Oceania
92,Mauritania,26.75406167,12.7,4086657,Africa
93,Mauritius,26.06693249,10.8,1263747,Africa
94,Mexico,28.5927059,28.9,122251351,North America
95,Mongolia,26.76993285,20.6,3088856,Asia
96,Montenegro,26.29841226,23.3,625353,Europe
97,Morocco,26.69405022,26.1,35023457,Africa
98,Mozambique,23.49925099,7.2,27337105,Africa
99,Namibia,25.54331027,17.2,2439213,Africa
100,Nauru,32.94599814,61,11150,Oceania
101,Nepal,22.54971901,4.1,27955462,Asia
102,Netherlands,25.25583137,20.4,17030314,Europe
103,New Zealand,28.1097167,30.8,4714100,Oceania
104,Nicaragua,28.13943727,23.7,6232666,North America
105,Niger,22.38324661,5.5,20685753,Africa
106,Nigeria,24.03240199,8.9,195443700,Africa
107,Norway,26.26415039,23.1,5234519,Europe
108,Oman,26.45759051,27,4390877,Asia
109,Pakistan,24.80713807,8.6,220138869,Asia
110,Palau,29.71899666,55.3,17797,Oceania
111,Panama,27.84507405,22.7,4029086,North America
112,Papua New Guinea,26.00865594,21.3,8961718,Oceania
113,Paraguay,27.13007968,20.3,6249126,South America
114,Peru,27.27829945,19.7,30866494,South America
115,Philippines,23.60315367,6.4,106735719,Asia
116,Poland,26.15003733,23.1,37970087,Europe
117,Portugal,25.30196049,20.8,10325452,Europe
118,Qatar,30.37723605,35.1,2477113,Asia
119,Romania,27.02751136,22.5,19702267,Europe
120,Rwanda,22.75714568,5.8,11919183,Africa
121,Samoa,34.33982466,47.3,203499,Oceania
122,Sao Tome and Principe,25.76122035,12.4,203689,Africa
123,Saudi Arabia,29.50637747,35.4,30954198,Asia
124,Senegal,24.13324951,8.8,15034521,Africa
125,Serbia,25.73872813,21.5,7058322,Europe
126,Seychelles,28.23789445,14,94677,Africa
127,Sierra Leone,23.58342185,8.7,7205328,Africa
128,Singapore,23.14285847,6.1,5607283,Asia
129,Slovenia,26.73878467,20.2,2065042,Europe
130,Solomon Islands,27.07650928,22.5,662379,Oceania
131,South Africa,29.59192125,28.3,57259551,Africa
132,Spain,24.92999859,23.8,46458139,Europe
