,Unnamed: 0,Country,Obesity (%),Continent
0,0,Afghanistan,5.5,Asia
1,1,Albania,21.7,Europe
2,2,Algeria,27.4,Africa
3,3,Andorra,25.6,Europe
4,4,Angola,8.2,Africa
5,5,Antigua and Barbuda,18.9,North America
6,6,Argentina,28.3,South America
7,7,Armenia,20.2,Europe
8,8,Australia,29,Oceania
9,9,Austria,20.1,Europe
10,10,Azerbaijan,19.9,Europe
11,11,Bahamas,31.6,North America
12,12,Bahrain,29.8,Asia
13,13,Bangladesh,3.6,Asia
14,14,Barbados,23.1,North America
15,15,Belarus,24.5,Europe
16,16,Belgium,22.1,Europe
17,17,Belize,24.1,North America
18,18,Benin,9.6,Africa
19,19,Bhutan,6.4,Asia
20,20,Bosnia and Herzegovina,17.9,Europe
21,21,Botswana,18.9,Africa
22,22,Brazil,22.1,South America
23,23,Bulgaria,25,Europe
24,24,Burundi,5.4,Africa
25,25,Cambodia,3.9,Asia
26,26,Cameroon,11.4,Africa
27,27,Canada,29.4,North America
28,28,Central African Republic,7.5,Africa
29,29,Chad,6.1,Africa
30,30,Chile,28,South America
31,31,China,6.2,Asia
32,32,Colombia,22.3,South America
33,33,Comoros,7.8,Africa
34,34,Congo,9.6,Africa
35,35,Costa Rica,25.7,North America
36,36,Croatia,24.4,Europe
37,37,Cuba,24.6,North America
38,38,Cyprus,21.8,Europe
39,39,Czechia,26,Europe
40,40,Denmark,19.7,Europe
41,41,Djibouti,13.5,Africa
42,42,Dominica,27.9,North America
43,43,Dominican Republic,27.6,North America
44,44,Ecuador,19.9,South America
45,45,Egypt,32,Africa
46,46,El Salvador,24.6,North America
47,47,Equatorial Guinea,8,Africa
48,48,Eritrea,5,Africa
49,49,Estonia,21.2,Europe
50,50,Ethiopia,4.5,Africa
51,51,Fiji,30.2,Oceania
52,52,Finland,22.2,Europe
53,53,France,21.6,Europe
54,54,Gabon,15,Africa
55,55,Gambia,10.3,Africa
56,56,Georgia,21.7,Europe
57,57,Germany,22.3,Europe
58,58,Ghana,10.9,Africa
59,59,Greece,24.9,Europe
60,60,Grenada,21.3,North America
61,61,Guatemala,21.2,North America
62,62,Guinea,7.7,Africa
63,63,Guinea-Bissau,9.5,Africa
64,64,Guyana,20.2,South America
65,65,Haiti,22.7,North America
66,66,Honduras,21.4,North America
67,67,Hungary,26.4,Europe
68,68,Iceland,21.9,Europe
69,69,India,3.9,Asia
70,70,Indonesia,6.9,Asia
71,71,Iraq,30.4,Asia
72,72,Ireland,25.3,Europe
73,73,Israel,26.1,Asia
74,74,Italy,19.9,Europe
75,75,Jamaica,24.7,North America
76,76,Japan,4.3,Asia
77,77,Jordan,35.5,Asia
78,78,Kazakhstan,21,Asia
79,79,Kenya,7.1,Africa
