,Country,Mean BMI,Obesity (%),Population_2016,Continent
0,Afghanistan,22.68245614,5.5,34700612,Asia
1,Albania,27.17447081,21.7,2876101,Europe
2,Algeria,24.86538555,27.4,40850721,Africa
3,Andorra,27.47839497,25.6,72181,Europe
4,Angola,22.43653817,8.2,29183070,Africa
5,Antigua and Barbuda,25.82569643,18.9,89969,North America
6,Argentina,28.01768234,28.3,43900313,South America
7,Armenia,25.74388941,20.2,2992300,Europe
8,Australia,27.71849093,29,24190907,Oceania
9,Austria,26.67288696,20.1,8736668,Europe
10,Azerbaijan,26.24688161,19.9,9757812,Europe
11,Bahrain,24.895558,29.8,1423726,Asia
12,Bangladesh,21.40108169,3.6,160811932,Asia
13,Barbados,26.51546778,23.1,279598,North America
14,Belarus,26.629948,24.5,9469379,Europe
15,Belgium,26.8013405,22.1,11331422,Europe
16,Belize,27.63242364,24.1,364705,North America
17,Benin,22.66670723,9.6,11697842,Africa
18,Bhutan,23.59475588,6.4,747866,Asia
19,Bosnia and Herzegovina,26.53071356,17.9,3473003,Europe
20,Botswana,22.63366824,18.9,2234776,Africa
21,Brazil,26.47157714,22.1,203218114,South America
22,Bulgaria,27.32226907,25,6894139,Europe
23,Burundi,21.85867709,5.4,11239451,Africa
24,Cambodia,22.15405293,3.9,15852803,Asia
25,Cameroon,23.65643975,11.4,23454161,Africa
26,Canada,27.45423618,29.4,36110803,North America
27,Central African Republic,22.07918352,7.5,4713663,Africa
28,Chad,22.05057441,6.1,15114655,Africa
29,Chile,27.99180302,28,18267221,South America
30,China,24.27643908,6.2,1387790000,Asia
31,Colombia,25.990732,22.3,47437512,South America
32,Comoros,23.36117402,7.8,741741,Africa
33,Costa Rica,26.9095007,25.7,4866998,North America
34,Croatia,28.1976285,24.4,4106867,Europe
35,Cuba,25.37309739,24.6,11265612,North America
36,Cyprus,27.73522915,21.8,1237112,Europe
37,Czechia,28.18887918,26,10566332,Europe
38,Denmark,26.27862334,19.7,5728010,Europe
39,Djibouti,23.50601857,13.5,1037653,Africa
40,Dominica,25.07841251,27.9,69606,North America
41,Dominican Republic,25.68938691,27.6,10551430,North America
42,Ecuador,26.76872095,19.9,16505139,South America
43,El Salvador,26.97990172,24.6,6200800,North America
44,Equatorial Guinea,22.39304404,8,1508186,Africa
45,Eritrea,20.31894138,5,3124698,Africa
46,Estonia,27.10832438,21.2,1315790,Europe
47,Ethiopia,20.11043961,4.5,106718162,Africa
48,Fiji,26.80560987,30.2,919166,Oceania
49,Finland,26.54581549,22.2,5495303,Europe
50,France,26.07234717,21.6,66724104,Europe
51,Gabon,24.14419589,15,2100306,Africa
52,Georgia,27.68977139,21.7,3727505,Europe
53,Germany,27.48449232,22.3,82348669,Europe
54,Ghana,22.59033672,10.9,29356742,Africa
55,Greece,27.65624943,24.9,10775971,Europe
56,Grenada,25.26649583,21.3,115130,North America
57,Guatemala,25.83059531,21.2,16268760,North America
58,Guinea,22.46822914,7.7,12073030,Africa
59,Guinea-Bissau,22.85539546,9.5,1831893,Africa
60,Guyana,25.18206707,20.2,763548,South America
61,Haiti,26.62422204,22.7,10671457,North America
62,Honduras,26.00910489,21.4,9412380,North America
63,Hungary,28.39520228,26.4,9759755,Europe
64,Iceland,27.16196688,21.9,335439,Europe
65,India,21.81452731,3.9,1343944296,Asia
66,Indonesia,22.58718339,6.9,264627418,Asia
67,Iraq,27.9517395,30.4,38469627,Asia
68,Ireland,28.09450077,25.3,4762722,Europe
69,Israel,27.82790048,26.1,8546000,Asia
70,Italy,26.64890335,19.9,60115223,Europe
71,Jamaica,25.97758141,24.7,2809915,North America
72,Japan,23.68088582,4.3,127076000,Asia
73,Jordan,28.50538669,35.5,10006367,Asia
74,Kazakhstan,26.48649063,21,18363600,Asia
75,Kenya,22.22532695,7.1,48139687,Africa
76,Kiribati,29.16996617,46,118478,Oceania
77,Kuwait,29.19359451,37.9,4004096,Asia
78,Latvia,27.19496331,23.6,1959537,Europe
79,Lebanon,28.1243274,32,6323060,Asia
80,Lesotho,22.81298191,16.6,2130422,Africa
81,Liberia,23.17230055,9.9,4755608,Africa
82,Libya,27.05258408,32.5,6632126,Africa
83,Lithuania,27.21831369,26.3,2877325,Europe
84,Luxembourg,27.24497208,22.6,582014,Europe
85,Madagascar,21.57781202,5.3,26099952,Africa
86,Malawi,22.59813348,5.8,17557739,Africa
87,Malaysia,25.40068289,15.6,31789685,Asia
